                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2337,                 3.7922,                 1.3781,                0.54817,                0.16135,                0.12541,                0.08515,                 1.3025,                 2.3476,                 1.3266,             7.2232e-05,             7.2232e-05,             7.2232e-05
                      2,                    1.2,                 2.3513,                 1.3933,                0.61522,                0.19441,                0.19413,                0.13376,                   1.23,                 1.7971,                 1.2733,              0.0001417,              0.0001417,              0.0001417
                      3,                 1.1262,                 1.9248,                  1.339,                0.63891,                0.23923,                 0.2556,                0.18581,                 1.2485,                 1.5536,                 1.2954,             0.00020831,             0.00020831,             0.00020831
                      4,                 1.0826,                 1.7574,                 1.3081,                0.68988,                0.24574,                0.26325,                0.18843,                 1.2272,                 1.4684,                 1.2398,             0.00020411,             0.00020411,             0.00020411
                      5,                 1.0506,                  1.664,                 1.2801,                0.67966,                0.22011,                0.26288,                 0.1939,                 1.2246,                 1.4867,                  1.248,             0.00020411,             0.00020411,             0.00020411
                      6,                 1.0297,                 1.6002,                 1.2632,                0.66346,                0.26173,                0.29292,                0.20787,                 1.2537,                 1.3971,                 1.2343,             0.00019981,             0.00019981,             0.00019981
                      7,                  1.026,                  1.562,                 1.2581,                0.65092,                0.23807,                0.29061,                0.20947,                 1.2471,                 1.3972,                 1.2296,             0.00019552,             0.00019552,             0.00019552
                      8,                 1.0122,                 1.4951,                 1.2413,                0.66192,                0.25189,                0.29236,                0.20959,                 1.2159,                 1.3085,                 1.2078,             0.00019122,             0.00019122,             0.00019122
                      9,                  1.002,                 1.4731,                 1.2334,                 0.6563,                0.26998,                0.30722,                0.22191,                 1.2134,                 1.3533,                 1.2093,             0.00018692,             0.00018692,             0.00018692
                     10,                0.98994,                 1.4386,                 1.2266,                 0.7083,                 0.2767,                0.30264,                0.22083,                 1.1842,                 1.2761,                 1.1785,             0.00018263,             0.00018263,             0.00018263
                     11,                0.98738,                  1.416,                  1.223,                0.69654,                0.27437,                0.28742,                0.20717,                 1.2288,                 1.3056,                 1.2275,             0.00017833,             0.00017833,             0.00017833
                     12,                0.98336,                 1.3694,                 1.2196,                0.69044,                0.28314,                0.32227,                0.22994,                 1.2325,                 1.2752,                 1.1858,             0.00017403,             0.00017403,             0.00017403
                     13,                0.97048,                 1.3442,                 1.2158,                0.65683,                0.28664,                0.29621,                0.21378,                 1.1833,                 1.2488,                 1.1679,             0.00016974,             0.00016974,             0.00016974
                     14,                0.96617,                 1.3264,                 1.2065,                0.63731,                0.28537,                0.30914,                0.22063,                 1.2059,                 1.2592,                 1.1776,             0.00016544,             0.00016544,             0.00016544
                     15,                0.96118,                 1.3093,                 1.2014,                0.67923,                0.28603,                0.31988,                0.22946,                 1.2016,                 1.1913,                 1.1864,             0.00016114,             0.00016114,             0.00016114
                     16,                0.95942,                 1.2934,                 1.2012,                0.66903,                0.26258,                0.31921,                0.23627,                 1.1583,                 1.2124,                 1.1602,             0.00015685,             0.00015685,             0.00015685
                     17,                0.95587,                 1.2719,                 1.1972,                0.66539,                0.28013,                0.33369,                0.24483,                 1.1791,                 1.1505,                 1.1712,             0.00015255,             0.00015255,             0.00015255
                     18,                0.95504,                 1.2486,                  1.195,                0.65485,                0.29448,                0.33669,                0.24836,                 1.1843,                 1.1329,                 1.1592,             0.00014825,             0.00014825,             0.00014825
                     19,                0.94399,                 1.2433,                 1.1932,                0.65101,                0.29361,                0.32538,                0.23805,                 1.1684,                 1.1654,                 1.1536,             0.00014396,             0.00014396,             0.00014396
                     20,                 0.9453,                 1.2233,                 1.1912,                0.67777,                0.27028,                0.32577,                 0.2387,                 1.1706,                 1.1551,                 1.1621,             0.00013966,             0.00013966,             0.00013966
                     21,                0.93411,                  1.193,                 1.1828,                0.64879,                0.29355,                 0.3394,                0.24757,                 1.1843,                 1.1562,                 1.1587,             0.00013536,             0.00013536,             0.00013536
                     22,                0.93869,                  1.184,                 1.1843,                0.65676,                0.29023,                0.32844,                0.24158,                 1.1807,                 1.1535,                 1.1605,             0.00013107,             0.00013107,             0.00013107
                     23,                0.93401,                 1.1727,                   1.18,                0.61363,                0.29597,                0.32674,                0.23796,                 1.1859,                 1.1221,                 1.1589,             0.00012677,             0.00012677,             0.00012677
                     24,                0.91944,                 1.1594,                 1.1747,                0.67676,                0.28483,                0.34996,                0.25359,                 1.1932,                 1.1302,                 1.1639,             0.00012247,             0.00012247,             0.00012247
                     25,                0.92659,                 1.1423,                 1.1767,                0.67821,                 0.2929,                0.34746,                0.25365,                 1.1904,                 1.1461,                 1.1678,             0.00011818,             0.00011818,             0.00011818
                     26,                0.91499,                 1.1299,                 1.1708,                0.65757,                0.30479,                0.33905,                0.24662,                 1.1806,                 1.1402,                 1.1539,             0.00011388,             0.00011388,             0.00011388
                     27,                0.91701,                 1.1193,                 1.1735,                 0.5499,                 0.3394,                0.35049,                0.25428,                 1.1877,                 1.1278,                 1.1637,             0.00010959,             0.00010959,             0.00010959
                     28,                0.91457,                 1.1033,                 1.1675,                0.66408,                0.29221,                0.34858,                0.25646,                  1.162,                 1.1021,                 1.1429,             0.00010529,             0.00010529,             0.00010529
                     29,                0.90209,                 1.0952,                 1.1657,                 0.6745,                 0.2961,                0.33365,                0.24509,                 1.1529,                 1.1342,                 1.1413,             0.00010099,             0.00010099,             0.00010099
                     30,                0.90452,                 1.0844,                 1.1635,                0.57844,                0.31868,                0.32869,                 0.2393,                 1.1765,                 1.1314,                 1.1546,             9.6695e-05,             9.6695e-05,             9.6695e-05
                     31,                 0.8998,                 1.0783,                 1.1614,                0.65495,                0.31151,                0.35393,                0.25987,                  1.164,                 1.1198,                 1.1541,             9.2399e-05,             9.2399e-05,             9.2399e-05
                     32,                  0.898,                 1.0617,                 1.1593,                0.63728,                0.31227,                0.35028,                0.26007,                 1.1544,                 1.1047,                  1.136,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     33,                0.89881,                 1.0414,                 1.1586,                0.57806,                  0.319,                0.33982,                0.25149,                 1.1587,                 1.1319,                 1.1441,             8.3805e-05,             8.3805e-05,             8.3805e-05
                     34,                 0.8921,                 1.0461,                  1.156,                0.64369,                0.30545,                0.34868,                0.25927,                 1.1486,                 1.1298,                 1.1414,             7.9509e-05,             7.9509e-05,             7.9509e-05
                     35,                0.88459,                 1.0267,                 1.1534,                0.57848,                0.30258,                 0.3474,                0.26031,                 1.1349,                 1.1243,                 1.1397,             7.5212e-05,             7.5212e-05,             7.5212e-05
                     36,                0.88644,                 1.0197,                 1.1511,                0.63357,                0.30266,                0.35048,                0.26103,                 1.1521,                 1.0997,                 1.1427,             7.0916e-05,             7.0916e-05,             7.0916e-05
                     37,                0.88668,                  1.015,                 1.1507,                0.60946,                 0.3069,                0.35406,                0.26013,                 1.1519,                 1.1284,                 1.1373,             6.6619e-05,             6.6619e-05,             6.6619e-05
                     38,                0.88575,                 1.0049,                 1.1512,                0.61431,                0.31163,                0.35118,                0.25967,                 1.1502,                 1.1069,                 1.1418,             6.2322e-05,             6.2322e-05,             6.2322e-05
                     39,                 0.8941,                  1.014,                 1.1572,                0.60397,                0.32036,                0.35589,                0.26786,                 1.1397,                 1.1058,                 1.1321,             5.8026e-05,             5.8026e-05,             5.8026e-05
                     40,                0.87792,                0.99358,                 1.1473,                0.63256,                0.29986,                0.34612,                0.25556,                 1.1464,                 1.0952,                 1.1418,             5.3729e-05,             5.3729e-05,             5.3729e-05
                     41,                0.85448,                0.80213,                 1.1628,                0.43354,                0.34945,                0.34639,                0.25742,                 1.1376,                  1.123,                 1.1349,             4.9433e-05,             4.9433e-05,             4.9433e-05
                     42,                0.83923,                0.75245,                  1.156,                0.56188,                0.31211,                0.33619,                0.24956,                  1.149,                 1.1163,                 1.1406,             4.5136e-05,             4.5136e-05,             4.5136e-05
                     43,                0.83242,                0.72796,                 1.1493,                0.45111,                 0.3362,                0.34559,                0.25607,                  1.147,                 1.1128,                 1.1351,             4.0839e-05,             4.0839e-05,             4.0839e-05
